ExecutionTime,CDF
2.596,0.022727272727272728
3.268,0.045454545454545456
3.546,0.06818181818181818
3.773,0.09090909090909091
4.543,0.11363636363636363
6.435,0.13636363636363635
6.69,0.1590909090909091
6.864,0.18181818181818182
7.615,0.20454545454545456
7.845,0.22727272727272727
8.097,0.25
8.154,0.2727272727272727
8.165,0.29545454545454547
8.384,0.3181818181818182
8.724,0.3409090909090909
8.981,0.36363636363636365
9.033,0.38636363636363635
9.044,0.4090909090909091
9.097,0.4318181818181818
9.627,0.45454545454545453
10.194,0.4772727272727273
11.088,0.5
11.127,0.5227272727272727
11.179,0.5454545454545454
11.192,0.5681818181818182
11.212,0.5909090909090909
11.355,0.6136363636363636
11.835,0.6363636363636364
12.217,0.6590909090909091
12.296,0.6818181818181818
12.382,0.7045454545454546
13.285,0.7272727272727273
14.517,0.75
14.682,0.7727272727272727
15.948,0.7954545454545454
15.993,0.8181818181818182
17.414,0.8409090909090909
17.773,0.8636363636363636
18.217,0.8863636363636364
19.336,0.9090909090909091
20.973,0.9318181818181818
23.753,0.9545454545454546
24.674,0.9772727272727273
25.481,1.0
